Object Name,Field Label,API Name,Data Type,Source Requirement (PDF Reference),Data Classification,Shield Encryption Type,Encryption Rationale
Contact,First Name,FirstName,Text(40),Full Name[cite: 80],Confidential (PII),Deterministic,Allow search by name while protecting identity.
Contact,Last Name,LastName,Text(80),Full Name[cite: 80],Confidential (PII),Deterministic,Allow search by name while protecting identity.
Contact,Email,Email,Email,E-mail[cite: 80],Confidential (PII),Deterministic,Key identifier for uniqueness checks.
Contact,Phone,Phone,Phone,Work Phone[cite: 80],Confidential (PII),Deterministic,Allow lookup by phone number.
Contact,Account Name,AccountId,Lookup(Account),Current Employer Link,Internal,None,Standard lookup; encryption not recommended for Lookups unless critical.
Identity_Document__c,Date of Birth,Date_of_Birth__c,Date,Date of Birth[cite: 80],Restricted (Sensitive PII),Deterministic,Highly sensitive PII; Deterministic allows matching for identity verification.
Identity_Document__c,Place of Birth City,Place_of_Birth_City__c,Text(100),Place of Birth City[cite: 80],Confidential (PII),None,Usually not required to be encrypted for search; masking can be used instead.
Identity_Document__c,Place of Birth Country,Place_of_Birth_Country__c,Picklist,Place of Birth Country[cite: 80],Confidential (PII),None,Picklists cannot be encrypted with Shield.
Identity_Document__c,Gender,Gender__c,Picklist,Gender[cite: 80],Confidential (PII),None,Picklists cannot be encrypted with Shield.
Identity_Document__c,Citizenship Countries,Citizenship_Countries__c,Multi-Select Picklist,Country(ies) of Citizenship[cite: 80],Confidential (PII),None,Picklists cannot be encrypted with Shield.
Identity_Document__c,Document Type,Document_Type__c,Picklist,Passport/Visa/National ID,Internal,None,Classification logic.
Identity_Document__c,Document Number,Document_Number__c,Text(100),Passport Number[cite: 80],Restricted (Sensitive PII),Deterministic,Critical Identifier. Must be encrypted but searchable for duplicate checks.
Identity_Document__c,Expiration Date,Expiration_Date__c,Date,Passport Expiration Date[cite: 80],Confidential (PII),None,Date math required for validation (e.g. valid for visit duration).
Identity_Document__c,Issuing Country,Issuing_Country__c,Picklist,Country of Issue,Confidential (PII),None,Picklists cannot be encrypted.
Identity_Document__c,Immigration Status,Immigration_Status__c,Picklist,Immigration Status (e.g. LPR)[cite: 80],Confidential (PII),None,Regulatory status.
Identity_Document__c,Visa Type,Visa_Type__c,Picklist,Type of Visa (e.g. J-1)[cite: 80],Confidential (PII),None,Regulatory status.
Address_History__c,Address Type,Address_Type__c,Picklist,Permanent/Current/Mailing,Internal,None,Classification logic.
Address_History__c,Street Address,Street_Address__c,Text Area,Street[cite: 80],Confidential (PII),Probabilistic,Address is sensitive; Probabilistic is safer if exact match search is not needed.
Address_History__c,City,City__c,Text(100),City[cite: 80],Confidential (PII),None,Often needed for reporting/grouping.
Address_History__c,Country,Country__c,Picklist,Country of Current Residence[cite: 80],Confidential (PII),None,Picklists cannot be encrypted.
Address_History__c,Time at Residence,Time_at_Residence__c,Text(50),How long at current residence[cite: 80],Confidential (PII),None,Descriptive text.
Address_History__c,Is Active,Is_Active__c,Checkbox,Current Residence Logic,Internal,None,System flag.
Work_Experience__c,Employer Name,Employer_Name__c,Text(255),Name of Current Employer[cite: 80],Confidential (PII),Deterministic,Searchable for conflict of interest checks.
Work_Experience__c,Job Title,Job_Title__c,Text(100),Position Title[cite: 80],Confidential (PII),None,Reporting field.
